0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-74.2303,95.733154,14.007445,23.00645,15.848575,12.309469,7.1754165,5.470282,2.8655605,6.2968717,0.070973404,1.8279704,-0.6901843,4.5827246,-4.51226,2.7948968,-3.246035,2.9302459,-2.39186,5.596285,-1.4808671,1.8819982,-1.4890893,1.7906512,-2.0993514,2.6507723,-2.7044065,0.77632713,-2.9032977,-0.6604701,-5.003604,-0.08832218,-2.1266341,-0.26703706,-3.685894,-1.5637685,-2.4514225,0.9179084,-1.751987,1.9366652
-200.9271,145.82053,3.8301241,9.614542,4.7014103,-10.028426,-9.0920515,-6.5649304,-12.671453,8.074591,-7.5992727,4.3125,-0.9889498,-4.4905705,2.044039,-3.9614232,-6.6839952,1.7191855,-9.172155,-4.214212,-5.7610626,2.7915099,0.689503,4.6978917,-5.098566,-3.0638473,-1.2624717,1.479678,-2.2376454,6.1115184,5.133924,5.04838,1.3947824,1.5284024,3.2354054,5.4242187,1.3904499,-0.20749027,-6.8721795,-5.111812
-108.27889,97.49456,4.915755,28.259743,1.7090988,6.947893,5.046834,5.3245187,3.9190207,3.4268274,-3.7545795,1.3474321,-2.9940805,2.4825585,-2.526208,-0.5317708,-3.977184,0.19075629,-4.551592,-0.8242116,-3.852543,-2.108022,-4.755388,-0.70037705,-8.0241165,-4.2119827,-2.5867267,3.929716,-0.08880456,1.1513954,-1.7889494,0.09082857,-3.9918048,1.5274382,-1.6009636,-0.25473702,-3.8382907,-1.5952556,-3.711166,0.4337115
-39.212566,77.00484,12.722833,24.10371,14.33753,11.332408,7.8828816,7.742451,-3.2085037,14.913117,-3.3078127,7.8151813,-0.34366313,8.539326,4.115624,0.33803582,-1.3266947,4.5730777,-6.1507673,3.5299118,2.3057597,0.1144243,-5.3718367,-3.9866612,-7.5926857,0.22838022,-2.959621,4.5640917,0.8331362,2.600179,-0.6193912,2.2007353,-2.690963,0.14267701,-4.060013,-0.9966363,-4.7804966,-3.8706388,-3.5131404,5.640705
-121.7585,85.23742,6.607218,21.450726,-10.818408,-3.8734918,3.4251053,-0.7002951,-0.80505997,-1.4918698,-6.771905,0.3617573,-11.3877535,-2.1048644,-10.238997,-4.188108,-4.131526,-0.14397226,4.7869453,5.654053,-4.52606,-0.0028079713,-0.60271776,1.7136788,-0.75507706,-3.119441,-8.556732,-1.8398007,-3.5915232,-1.3281839,-6.198888,-7.9974523,-3.8438547,5.2636085,3.1468973,3.5504332,-0.29683512,-0.13825196,-4.9926972,-4.4344773
-43.18128,116.55149,7.7620487,11.937024,20.415392,-0.026008628,1.3289336,9.1620455,-3.706056,2.1129923,3.9904044,1.778532,-3.2162127,4.7722263,-2.2463717,-2.0564952,-3.0510433,4.644301,-0.43681154,4.2000027,-0.5210599,-0.2778331,0.086735845,5.490121,-1.0666747,3.2497184,-2.9178903,-0.53832626,-2.6938565,3.071409,-0.11883989,-3.0938957,-4.561753,-0.049997322,-0.7625629,3.168493,-2.2328544,1.620162,-2.8623195,2.0318549
-98.49904,153.12384,-14.09481,25.741434,3.1747384,5.890195,0.015858373,9.607284,-5.446674,-2.40669,-0.82838815,0.49259847,-0.060764518,-2.118654,-3.4039166,-0.34385577,-2.6504705,-2.3427093,-2.7098613,-0.85550916,-4.223981,2.5517678,0.10657546,-0.060279105,-1.9784681,0.5096326,-2.96279,0.80341053,0.31961596,2.5010993,-0.74148434,-1.0539925,-4.2688675,-0.300182,-1.0973334,0.91054523,-1.454456,1.8516765,-1.8420135,-2.2034087
-59.370766,91.97742,20.704172,32.785015,12.669025,7.498336,10.592428,-1.4976395,4.6355095,9.827612,-5.0399885,7.7901273,-3.6751606,8.425648,-0.32941273,2.714086,3.6293857,4.7671757,0.33918306,4.5849857,-1.3373004,1.5498017,1.9533526,-2.8307514,-6.2620325,1.5402981,-3.9597795,-0.375855,-1.5711384,-1.5763912,-1.8809084,1.0345678,-2.4017792,-0.070026875,-5.2591877,0.83647925,-1.7506616,1.3886548,-3.3914752,-1.2617338
-182.9977,124.80487,30.830479,26.583572,4.258359,7.8018727,3.5633843,-0.66198313,2.760915,-3.9213676,-7.494825,-3.9733756,2.5504837,4.6932893,6.787797,12.082469,0.32214376,-0.0824331,-6.893094,-4.201141,-7.243034,-1.4802034,-7.6629443,-5.354772,-1.1983964,-2.061855,-3.3863933,-0.56514996,-3.3229918,3.2593265,-1.3633426,2.3239806,-1.492468,-1.2201805,-2.3256104,0.26403448,-2.3698366,-2.0408561,-1.7514559,2.7409627
-112.64976,141.07848,8.133827,9.015441,17.398521,-11.6330805,5.3766503,-8.086754,6.220846,-4.763104,-0.7412914,4.906698,-11.64443,4.5692296,-3.506617,-1.7548903,-4.9334307,2.6518252,-2.7028294,0.6139574,1.1260903,3.1050544,0.9803126,0.24121337,-5.745189,1.258855,-3.6450787,3.2272973,-3.2552643,-2.619208,-2.143251,5.3952546,0.94501114,2.2761223,-5.17364,0.57798433,-4.689695,0.60327595,-0.50593257,4.141315
-52.79387,98.34107,6.1896596,22.146973,11.617777,4.5384994,5.7317,9.671623,-3.7068799,7.1902137,1.6940877,1.5212704,-0.39959344,4.7665954,-0.2711942,4.7209945,-4.124337,2.4756794,-1.7175233,2.4539695,-1.3090593,5.522237,1.876269,3.8207796,0.49116737,3.3497956,-0.5232073,3.8777912,-0.33850935,0.46576887,-0.9867138,6.2769175,2.2127197,2.2015324,-4.2749867,-3.6388006,-5.7470336,-1.4890214,-2.4049757,2.4079204
-32.287373,124.31612,-1.8408082,16.331783,1.0288107,13.8902235,6.353634,9.583955,-0.31419992,8.3452015,3.057386,5.4179564,-0.10693682,4.4347625,-0.6157189,3.9054878,-2.1506488,4.253075,0.016693382,3.8508072,-1.7406368,1.267839,-3.8454263,-0.58444613,-4.166387,0.160439,-3.768099,0.91836613,-3.2194808,-0.05446711,-2.239014,1.3592348,-2.1299417,-0.122008234,-2.8288758,0.81907964,-2.750783,0.440733,-1.6713226,2.7630503
-10.963502,79.43583,6.435896,16.539434,3.142454,12.687171,0.24395868,7.63384,1.2931861,7.868759,-2.8114662,4.7285643,2.8756995,5.909565,0.3179359,4.9650383,-2.130994,1.9475683,-0.56062716,2.6026752,-1.2662952,2.2140536,-3.124448,1.8559704,-0.20271954,2.7019596,1.4431227,4.594864,-0.87800896,0.7857798,-2.6194031,1.2073332,-0.44282138,1.4449131,-3.323408,0.47307184,-2.3508139,2.9127657,-0.21767017,1.402904
-65.23724,81.01412,-19.206888,14.663108,-6.2296104,-9.067406,-2.4992943,-11.778538,-8.352062,-1.9026073,-11.68021,-5.1705585,-13.00602,-3.2783918,-7.6495123,-0.73979014,-0.6952836,-1.0069327,-2.5574484,-2.8957512,-13.644195,-6.190618,-7.92833,-1.2157841,-6.239247,-3.4141543,-5.437245,-2.1029553,-5.851456,-5.3923235,0.0028996305,6.7109327,2.4326878,4.276245,1.5823481,6.301195,2.813867,6.9327393,4.77252,4.45562
-0.91673374,89.484436,6.408577,11.194058,-4.0435634,12.542488,-0.72175306,5.1826835,-6.5437746,3.0608232,-3.7054453,0.6555261,-3.500326,3.4992218,-4.135685,1.3660856,-2.1691349,1.8003969,5.33594,4.088373,-1.715309,-1.5104307,-8.6362505,5.3760905,-3.3093302,1.5635974,-2.751632,-0.000962641,-2.5664525,2.2504778,-5.451772,-4.4076295,-5.364965,1.8263038,-0.09318867,2.3203394,-1.8087246,-2.0023274,-4.647569,0.08043513
-43.086758,100.29319,7.5272903,24.6174,2.816838,4.9879436,2.9156592,6.954524,-1.2792243,4.0934772,-9.945192,5.2478313,-3.5660062,5.348875,-2.8061242,3.2015426,-5.2974916,0.008146901,-5.524805,-1.2640678,-9.039248,-1.8666058,-4.750328,0.48298582,-1.1021751,1.3556296,-1.4238391,3.6366677,-3.2880263,-3.2330847,-6.331122,0.07359104,-1.3680896,0.67283845,-4.52282,-1.9850129,-6.3582473,-0.77066255,-1.6916089,0.4183309
-146.4211,107.284355,12.072698,11.882514,2.0886006,-7.71121,1.6227071,-6.9566064,-7.6864367,-0.15364465,-11.02805,-0.8217195,-9.912733,-1.2385199,-5.783781,1.1871396,-2.282122,0.24871546,-9.858457,-3.9870389,-7.08027,-3.5208051,-3.0415215,-1.7470621,-6.896997,-0.9248131,-6.703098,-3.3791103,-2.6893559,0.93740284,-1.1752101,0.9579863,-0.5119707,2.3572576,-1.1769763,0.59892756,-1.994515,-0.33132625,-3.4406388,-1.1299416
-132.79033,115.471054,-39.141968,39.936226,3.315615,9.566004,-7.288926,-0.7698868,0.8854078,5.830301,-1.6426841,-1.710727,-2.2807405,-5.99805,-4.503686,-3.7292242,-5.8355074,1.8545395,7.684818,2.4403832,-2.0906613,-2.5747566,-8.726155,-2.700392,-5.1722956,2.0977864,0.46007216,0.830078,-7.856055,-12.240284,-6.998935,0.53269386,1.002931,-3.2999866,-5.2181797,-3.768453,-1.7112671,4.084757,0.34865323,6.7432156
14.123671,72.3511,9.269032,20.657705,10.895913,15.316847,0.018167576,11.517878,3.1145782,5.543211,4.717138,3.3946013,0.33003947,3.7572877,-2.4405038,1.5254393,-2.679989,3.2839243,-1.8992255,3.080293,-2.3585858,2.5005734,-3.0183058,-0.52220124,-3.667272,1.5285394,-2.8193586,0.70232713,-2.9232063,3.955427,0.8155229,2.4436224,-2.5903063,-0.0907784,-2.6367142,1.5833352,-1.3727331,1.7603191,-1.9441171,1.364696
